timestamp,commit,total_size,bootloader_size,app_size,partition_table_size
2025-06-01 01:43:40 UTC,ab002f2,486912,22000,461840,3072
2025-06-02 06:14:26 UTC,ab7a5fb,486368,22000,461296,3072
2025-06-04 03:46:41 UTC,51ff0b7,486576,22000,461504,3072
2025-06-04 06:51:44 UTC,dbbe144,1155520,22000,1130448,3072
2025-06-06 00:27:13 UTC,468f340,1155504,22000,1130432,3072
2025-06-12 06:36:01 UTC,f5ea4e9,1155488,22000,1130416,3072
